Code,Name,Lat,Long,CAP,State,Region,District,Type,Type_Desc
3171233,Pentolina,43.2,11.18333,52010,IT,Tuscany,Provincia di Siena,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
3172922,Monteforte d'Alpone,45.42013,11.28446,23050,IT,Veneto,Provincia di Verona,seat of a third-order administrative division,nan
3174676,Literno,42.77376,10.25551,49003,IT,Tuscany,Provincia di Livorno,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
3177014,Isola di Figarolo,40.98023,9.64318,90083,IT,Sardinia,Provincia di Sassari,island,"a tract of land, smaller than a continent, surrounded by water at high water"
3178729,Forcella Cibiana,46.3725,12.26083,25013,IT,Veneto,Provincia di Belluno,pass,"a break in a mountain range or other high obstruction, used for transportation from one side to the other [See also gap]"
3180683,Fosso di Capo d'Omo,41.31667,13.0,-1,IT,nan,nan,stream,a body of running water moving to a lower level in a channel on land
3181803,Borgo d'Oneglia,43.91561,8.0204,8031,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
3199170,Torrente Iudrio,45.87639,13.42361,-1,IT,nan,nan,stream,a body of running water moving to a lower level in a channel on land
6453462,San Giorgio,40.77147,15.79804,76060,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
6697718,Censi,46.32685,11.53706,22196,IT,Trentino-Alto Adige,Provincia autonoma di Trento,peak,"a pointed elevation atop a mountain, ridge, or other hypsographic feature"
8950183,Sabina,40.90148,14.821129999999998,64001,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8951511,Casalino,46.07328,11.23079,22139,IT,Trentino-Alto Adige,Provincia autonoma di Trento,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8951829,Fabbrica,45.6849,7.66528,7017,IT,Aosta Valley,Valle d'Aosta,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8952596,San Pietro,44.79189,8.09111,4099,IT,Piedmont,Provincia di Cuneo,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8955775,Case Ricci,41.71361,13.45699,60085,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8956495,Castellano,43.25427,13.53475,43015,IT,The Marches,Provincia di Macerata,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8957135,Masseria Grande,40.40397,18.20235,75035,IT,Apulia,Provincia di Lecce,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8958837,Mossa,43.183890000000005,13.4603,43025,IT,The Marches,Provincia di Macerata,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8959357,Ponteccio,44.23051,10.26595,46037,IT,Tuscany,Provincia di Lucca,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8960941,Mondonovo,45.71345,11.27743,24107,IT,Veneto,Provincia di Vicenza,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8962499,Scerizza,45.76633,9.37129,97024,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8966927,Desman,45.51214,12.06436,27024,IT,Veneto,Provincia di Venezia,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8967084,Contrada Plavignano,42.51071,13.95323,67014,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8968038,Airaudi,44.80782,7.46603,1300,IT,Piedmont,Torino,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8969650,Piave Bis,45.26041,12.07382,28007,IT,Veneto,Provincia di Padova,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8971456,Pontigliano,43.29895,13.63865,43028,IT,The Marches,Provincia di Macerata,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8973752,Ulpmer,46.57784,11.15284,21099,IT,Trentino-Alto Adige,Bolzano,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8974418,Cascina Corneana,45.48636,9.53859,19084,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8976461,Castelletto,44.72002,7.85526,4029,IT,Piedmont,Provincia di Cuneo,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8978761,San Bartolomeo,44.5324,7.74435,4232,IT,Piedmont,Provincia di Cuneo,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8984062,Crescione,44.56218,9.31904,10052,IT,nan,nan,populated locality,an area similar to a locality but with a small group of dwellings or other buildings
9033009,Aggregato Rossano Veneto,45.69986,11.7869,24087,IT,Veneto,Provincia di Vicenza,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
9033614,Via Vische,45.33676,7.893619999999999,1050,IT,Piedmont,Torino,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
9035629,Pari,43.06334,11.31974,53008,IT,Tuscany,Provincia di Grosseto,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
9174196,Best Western Titian Inn Hotel,45.66238,12.29686,26081,IT,Veneto,Provincia di Treviso,hotel,a building providing lodging and/or meals for the public
9175746,Relais Gea,40.60206,14.37979,63044,IT,nan,nan,hotel,a building providing lodging and/or meals for the public
9612319,San Rocco Hotel,45.80135,8.40462,3112,IT,Piedmont,Provincia di Novara,hotel,a building providing lodging and/or meals for the public
9955304,The Yard Suite & Dependance,45.45306,9.17907,15146,IT,nan,nan,hotel,a building providing lodging and/or meals for the public
10235198,La Letizia,43.27577,11.72552,51021,IT,Tuscany,Province of Arezzo,hotel,a building providing lodging and/or meals for the public
10240017,Albergo Astoria,43.78361,7.66546,8008,IT,nan,nan,hotel,a building providing lodging and/or meals for the public
10293949,Glinzhof Mountain Natur Resort Agriturismo,46.74363,12.28014,21077,IT,Trentino-Alto Adige,Bolzano,hotel,a building providing lodging and/or meals for the public
10345140,Villa Olmi Resort Firenze Mgallery Collection,43.75759,11.31191,48001,IT,Tuscany,Province of Florence,hotel,a building providing lodging and/or meals for the public
10346243,Mostra Colletiva Permanente Arte alle Terme,44.81045,9.98513,34032,IT,nan,nan,museum,a building where objects of permanent interest in one or more of the arts and sciences are preserved and exhibited
10377193,Le Dune Blu,38.50093,15.91791,80097,IT,nan,nan,beach,a shore zone of coarse unconsolidated sediment that extends from the low-water line to the highest reach of storm waves
10626799,Villa Torrigiani,43.86162,10.60544,46007,IT,Tuscany,Provincia di Lucca,museum,a building where objects of permanent interest in one or more of the arts and sciences are preserved and exhibited
10629897,San Domenico,43.9306,10.91644,47014,IT,Tuscany,Provincia di Pistoia,church,a building for public Christian worship
11126910,Tempio della Beata Vergine della Ghiara,44.69905,10.62633,35033,IT,nan,nan,church,a building for public Christian worship
11839501,Chiesa di San Giuseppe Artigiano,41.566790000000005,14.675999999999998,70006,IT,Molise,Provincia di Campobasso,church,a building for public Christian worship
11903320,Rifugio A. Sonino al Coldai,46.3994,12.06901,25073,IT,Veneto,Provincia di Belluno,hut,a small primitive house
11906101,Montagna Spaccata,45.67127,11.24524,24084,IT,Veneto,Provincia di Vicenza,canyon,"a deep, narrow valley with steep sides cutting into a plateau or mountainous area"
