Code,Name,Capience
11126910,P.7.2,46
9175746,D.8.1,105
8959357,T.8.2,113
3174676,S.2.0,103
8959357,D.9.7,41
9033614,P.2.1,147
10293949,E.1.9,78
10629897,D.6.5,119
8952596,X.7.3,104
8951511,L.8.3,91
6453462,A.7.3,105
9955304,F.2.9,148
8967084,E.9.9,18
10235198,N.9.9,0
8967084,N.0.3,67
8968038,A.4.9,100
9175746,I.1.9,100
8950183,V.6.9,90
3171233,M.3.0,81
11126910,Y.8.7,145
8978761,Q.7.2,108
9955304,P.0.8,9
3181803,H.5.1,141
8960941,Y.5.5,145
11839501,D.5.2,109
8966927,B.8.7,111
8968038,H.6.2,136
8960941,V.9.8,7
9035629,B.9.6,25
8952596,I.2.1,112
8959357,Y.7.5,103
8976461,C.3.8,107
8951829,A.7.5,71
3181803,Q.1.2,88
8971456,D.0.0,61
8974418,T.5.4,40
8966927,M.8.3,91
9033614,H.4.2,17
8955775,P.7.2,62
8974418,B.4.5,47
8955775,X.0.0,137
8969650,C.7.7,54
8959357,B.6.5,135
8968038,G.6.6,131
9175746,H.0.4,148
8959357,M.0.3,61
8966927,X.8.2,36
10240017,U.1.2,123
9175746,O.7.9,73
9033009,E.6.9,50
8958837,G.6.6,17
10240017,S.8.1,69
8968038,T.7.7,143
11126910,D.0.2,38
8971456,L.9.4,116
8966927,I.7.7,105
3181803,S.4.3,11
11126910,M.7.7,34
9174196,T.9.8,69
8956495,J.7.9,13
9033009,W.6.6,77
8951511,V.0.0,29
8950183,Y.6.0,148
9033009,R.5.3,95
9175746,C.7.2,149
8962499,Z.6.4,138
8962499,I.7.8,140
10345140,J.0.0,147
9175746,M.0.0,40
8967084,S.4.6,48
8973752,B.2.5,99
10293949,F.0.9,45
10345140,A.0.8,42
8969650,J.4.6,110
10235198,S.3.2,128
8978761,Z.1.4,102
9033009,X.3.5,130
8959357,V.8.3,146
8978761,E.6.5,105
9035629,T.1.6,53
8974418,I.9.7,49
8960941,G.6.1,44
8951829,D.7.4,130
8951829,L.1.0,13
8956495,Z.1.8,120
8973752,C.0.1,68
9035629,L.3.8,59
8968038,O.1.1,31
9955304,J.6.7,147
10235198,T.4.3,29
8976461,B.9.2,88
8957135,H.6.8,56
8976461,K.2.4,31
8971456,V.0.2,56
8951511,R.0.0,12
11839501,M.9.2,76
10235198,Y.7.5,55
8952596,B.8.4,8
8950183,C.4.9,14
10629897,P.9.1,14
8966927,R.8.0,114
9033009,W.8.1,137
8973752,J.7.1,65
9955304,H.5.7,83
8974418,Z.6.0,139
8956495,C.9.1,63
8951829,K.8.4,88
11839501,Q.7.1,143
10293949,Z.7.3,45
8968038,H.1.1,72
8968038,F.1.8,43
