Code,Name,Lat,Long,CAP,State,Region,District,Type,Type_Desc
2523171,Segesta,37.94171,12.83649,81003,IT,Sicily,Trapani,archaeological/prehistoric site,"a place where archeological remains, old structures, or cultural artifacts are located"
3164316,Vigorso,44.53764,11.50345,37008,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
3165021,Usigliano,43.54984,10.58777,50040,IT,Tuscany,Province of Pisa,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
3166240,Spinoso,40.26921,15.96658,76086,IT,nan,nan,seat of a third-order administrative division,nan
3168428,San Donato,40.41021,17.31468,73027,IT,Apulia,Provincia di Taranto,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
3168568,San Bartolomeo,43.8279,7.77111,8055,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
3168791,Ruoti,40.7166,15.68369,76071,IT,nan,nan,seat of a third-order administrative division,nan
3169956,Praiano,40.61213,14.52461,65102,IT,nan,nan,seat of a third-order administrative division,nan
3170374,Pollein,45.7278,7.35146,7049,IT,Aosta Valley,Valle d'Aosta,seat of a third-order administrative division,nan
3171274,Pelos di Cadore,46.48935,12.45987,25065,IT,Veneto,Provincia di Belluno,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
3171920,Golfo di Orosei,40.25,9.73333,-1,IT,Sardinia,nan,gulf,"a large recess in the coastline, larger than a bay"
3171949,Oriolo,44.21667,11.61667,39005,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
3172652,Fiume Montone,44.39778,12.205,-1,IT,nan,nan,stream,a body of running water moving to a lower level in a channel on land
3173892,Monte Marmolada,46.43459,11.8509,22039,IT,Trentino-Alto Adige,Provincia autonoma di Trento,mountain,"an elevation standing high above the surrounding area with small summit area, steep slopes and local relief of 300m or more"
3174335,Madonna della Quercia,42.41667,12.1,56059,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
3175482,I Pieracci,43.15,11.98333,54009,IT,Umbria,Provincia di Perugia,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
3180245,Casalborgone,45.13045,7.94043,1060,IT,Piedmont,Torino,seat of a third-order administrative division,nan
3181623,Capo delle Brache,42.71546,10.41182,49004,IT,Tuscany,Provincia di Livorno,point,"a tapering piece of land projecting into a body of water, less prominent than a cape"
3182680,Aurighi,43.95,7.816669999999999,8035,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
3183588,Abbadia Isola,43.3884,11.19481,52016,IT,Tuscany,Provincia di Siena,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
3207341,La Comune,40.56361,17.02083,-1,IT,Apulia,nan,locality,a minor area or place of unspecified or mixed character and indefinite boundaries
3219938,Oblizza,46.13697,13.59226,30111,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
6517295,Il Tiglio     B&B,46.12515,8.27645,103028,IT,Piedmont,Provincia Verbano-Cusio-Ossola,hotel,a building providing lodging and/or meals for the public
6535185,Villa d'Adda,45.71398,9.46165,16238,IT,nan,nan,seat of a third-order administrative division,nan
6536047,Cocconato,45.08805,8.03943,5042,IT,Piedmont,Provincia di Asti,third-order administrative division,a subdivision of a second-order administrative division
6536818,Chiesina Uzzanese,43.83895,10.72211,47022,IT,Tuscany,Provincia di Pistoia,third-order administrative division,a subdivision of a second-order administrative division
6537875,Posada,40.63197,9.71644,91073,IT,Sardinia,Provincia di Nuoro,third-order administrative division,a subdivision of a second-order administrative division
6538145,Carrù,44.48103,7.874439999999999,4043,IT,Piedmont,Provincia di Cuneo,third-order administrative division,a subdivision of a second-order administrative division
6538473,Pieve di Cento,44.71227,11.30761,37048,IT,nan,nan,third-order administrative division,a subdivision of a second-order administrative division
6540361,Pietra de' Giorgi,45.02136,9.23036,18111,IT,nan,nan,third-order administrative division,a subdivision of a second-order administrative division
6542671,Megliadino San Fidenzio,45.21739,11.515999999999998,28051,IT,Veneto,Provincia di Padova,historical third-order administrative division,a former third-order administrative division
6697311,quota 1760,45.87171,10.70646,-1,IT,Veneto,nan,point,"a tapering piece of land projecting into a body of water, less prominent than a cape"
6932868,Pizzo Ligoncio,46.24004,9.54655,14046,IT,nan,nan,peak,"a pointed elevation atop a mountain, ridge, or other hypsographic feature"
6943807,Fonte Cognolo,42.35199,12.71698,-1,IT,nan,nan,spring(s),a place where ground water flows naturally out of the ground
6944690,San Mauro,40.88842,14.3624,63017,IT,nan,nan,hotel,a building providing lodging and/or meals for the public
8426364,Col della Boia,46.12551,11.66481,22048,IT,Trentino-Alto Adige,Provincia autonoma di Trento,peak,"a pointed elevation atop a mountain, ridge, or other hypsographic feature"
8952661,San Donato,43.84866,7.77888,8055,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8952826,Cattanea-Casoni dei Peri,45.26796,8.79111,18102,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8953688,Pietà,40.24423,14.95898,65031,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8955172,Roata Ghio,44.43511,7.45705,4040,IT,Piedmont,Provincia di Cuneo,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8955328,Dussano,46.10731,12.07019,25048,IT,Veneto,Provincia di Belluno,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8956353,Basse del Brenta,45.65626,11.71814,28032,IT,Veneto,Provincia di Padova,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8957065,Pignaro,37.866620000000005,13.47304,82047,IT,Sicily,Palermo,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8957930,Ca' Longa,45.77368,12.87501,27029,IT,Veneto,Provincia di Venezia,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8958431,Bordoni,44.90938,8.31731,5028,IT,Piedmont,Provincia di Asti,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8960121,Ronco,44.87519,9.72255,33040,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8960386,Pleod,45.72713,7.26663,7066,IT,Aosta Valley,Valle d'Aosta,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8960394,Bordighera Mestre,45.68218,8.84864,12029,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8960454,Calamello,43.52285,12.68445,41007,IT,The Marches,Provincia di Pesaro e Urbino,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8961418,Destra di Tornaturo,39.23321,16.29975,78045,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8962008,Pizzannocca,42.54061,13.942520000000002,67014,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8962281,Revelli,44.21991,8.36158,9067,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8962607,Postioma,45.68938,11.93309,26068,IT,Veneto,Provincia di Treviso,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8963240,Currieri,40.95886,14.76669,64018,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8964116,Chiappa,44.4877,8.13834,4178,IT,Piedmont,Provincia di Cuneo,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8964692,Picchi,44.625440000000005,7.84811,4067,IT,Piedmont,Provincia di Cuneo,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8966045,Valle,45.94028,9.93947,16012,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8966159,Maestà,44.48799,10.58982,35003,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8966884,Muraroni,45.48744,11.45243,24015,IT,Veneto,Provincia di Vicenza,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8968108,Casale Casa Rossa,45.794,8.91261,13255,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8970497,Melobuono,39.17528,16.416520000000002,78105,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8972828,Pilone,41.06646,15.12827,64032,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8973212,Case Carolo,45.51443,11.9641,28017,IT,Veneto,Provincia di Padova,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8977919,Versasio,45.8698,9.4301,97042,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8979202,Petriolo,43.51618,12.09897,54011,IT,Umbria,Provincia di Perugia,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8981895,Calanovella,38.16902,14.88309,83068,IT,Sicily,Messina,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8982202,Boresasco,44.458,9.64538,34040,IT,nan,nan,populated place,"a city, town, village, or other agglomeration of buildings where people live and work"
8982476,Valbocchetto,44.84953,8.23707,5071,IT,Piedmont,Provincia di Asti,populated locality,an area similar to a locality but with a small group of dwellings or other buildings
8982505,Romana,44.28803,8.25905,9014,IT,nan,nan,populated locality,an area similar to a locality but with a small group of dwellings or other buildings
